Row.names	elt2D_sorted_1	elt2D_sorted_2	elt2D_sorted_3	elt2D_sorted_4	elt2Delt7D_sorted_1	elt2Delt7D_sorted_2	elt2Delt7D_sorted_3	wt_sorted_1	wt_sorted_2	wt_sorted_3	wt_sorted_4	elt7D_sorted_1	elt7D_sorted_2	elt7D_sorted_3	sequence_id_list	gene_id_val	transcripts	chr_ce10	strand_ce10	start_min_ce10	stop_max_ce10	chromosome_ce11	start_min_ce11	end_max_ce11	strand_ce11	product_refseq	symbol_refseq	gene_name	chr	start	stop	strand
11	WBGene00000013	2.49238764978175	2.91236128801059	2.76994145183032	2.47313683442123	3.96504629074126	3.45547619749353	2.99663461446228	2.20020001097196	2.74724461974864	2.21415585625606	2.5153630052008	2.42553420704499	2.44205887863408	2.53616903306701	C50F2.10	abf-2	NM_058851	chrI	-	3885634	3885891	I	3885631	3885888	-	NM_058851.4	abf-2	abf-2	I	3885961	3885548	-1
12	WBGene00000015	2.82564312958116	2.71902389798611	3.02815879588866	2.64641492929208	3.55136925006818	3.81855460657499	3.1979100464422	3.39903718569419	3.48224515873593	2.64030289019349	3.39151073394347	3.24766949222273	3.01543077878108	3.78398630001214	Y38H6C.22	abf-4	NM_075564	chrV	-	20557914	20558339	V	20557945	20558370	-	NM_075564.1	abf-4	abf-4	V	20558379	20557945	-1
13	WBGene00000016	7.00730224447759	6.96139222489838	6.82222234299615	6.55908176703324	9.29106160991253	9.72765209218951	8.96807710160758	7.41504748974776	7.72021547463251	6.74198260626153	7.35671284378648	7.04755929053118	7.071396770783	7.41611893723411	T22H6.5	abf-5	NM_077735	chrX	+	12792794	12793237	X	12792864	12793307	+	NM_077735.4	abf-5	abf-5	X	12793386	12792849	1
14	WBGene00000017	8.18161587555591	8.14119127336477	8.05043871176388	7.66038932576208	9.82086665310618	10.0019463864839	9.5255111628038	8.94669188084242	9.15123708712927	8.54832997375386	9.21180763099412	8.71883463118393	8.89226161698649	9.10962005481977	T22H6.7	abf-6	NM_171787	chrX	+	12794107	12794745	X	12794177	12794815	+	NM_171787.3	abf-6	abf-6	X	12794873	12794177	1
15	WBGene00000018	9.75146750246339	9.88931676067301	9.71565699083002	9.92166378635721	9.69263066424509	9.73157560211459	9.68465670023876	9.74221595941676	9.53212391619704	9.70414836781995	9.48730964525932	9.7457042738037	9.83629906424398	9.69512528085202	M79.1	abl-1	NM_077376,NM_077377,NM_077378	chrX	-	10606136	10623971	X	10606199	10624146	-	NM_077376.6,NM_077377.4,NM_077378.2	abl-1	abl-1	X	10624185	10605832	-1
16	WBGene00000020	11.0132060067286	10.9525751871422	10.8978752860469	10.9999188661424	10.6443474079943	10.6439691364973	10.9548526805342	10.0390603428893	9.88093420664754	9.91104979582973	9.89363335704764	10.0802198157109	10.0876340306477	10.0949780881345	F12B6.1	abt-2	NM_058548	chrI	-	2256154	2272868	I	2256152	2272866	-	NM_058548.6	abt-2	abt-2	I	2272866	2255923	-1
17	WBGene00000022	12.5193645712545	12.2711864385093	12.4917822641151	12.2848083689787	11.2600768646472	11.3347032292311	11.7115533877833	9.93632378203713	9.64370802729191	9.91331582167278	9.63929760551061	9.97456788036048	9.91016950215529	10.0298139887801	Y39D8C.1	abt-4	NM_070774	chrV	-	323911	330725	V	323910	330724	-	NM_070774.3	abt-4	abt-4	V	330727	323777	-1
18	WBGene00000023	1.83789500057163	1.73246609059282	1.67585547104817	1.96180812319285	2.31872486585998	2.09883822234925	1.85450658023923	1.87348653915122	1.66746219280959	1.74543290148351	1.80242646983035	1.84977526306939	1.8629358794686	1.86933142171867	Y53C10A.9	abt-5	NM_060640	chrI	+	12011267	12018630	I	12011276	12018639	+	NM_060640.3	abt-5	abt-5	I	12018668	12011276	1
19	WBGene00000031	-0.473820043660033	-0.485699863736167	-0.389023349190071	-0.313235380485046	-0.403500372690324	-0.257804923752637	-0.471929555876977	-0.32247286602553	-0.475796852038639	-0.475905101241193	-0.477847308823322	-0.472468125074472	-0.37957676618194	-0.377575232564286	C03A7.14	abu-8	NM_071992	chrV	-	5193123	5194551	V	5193139	5194567	-	NM_071992.4	abu-8	abu-8	V	5194608	5192993	-1
20	WBGene00000033	3.12439397440407	2.89406329049819	3.44187810316728	3.08664582109329	7.13367333037431	7.08415285983458	8.17468382783742	2.75460744351992	2.79237962388113	2.88864059725815	2.93648778298397	3.15664518027551	2.89420637335689	3.11312045762685	F35A5.3	abu-10	NM_076258	chrX	+	3798207	3799626	X	3798223	3799642	+	NM_076258.5	abu-10	abu-10	X	3799741	3798179	1
21	WBGene00000034	3.62308722303938	3.80349329164852	3.93733692705556	3.94642750343293	3.56674858334296	3.6373864002442	4.53898119786329	2.67941480074045	2.70207344058965	2.70065082201481	2.58925299019827	2.74528583876604	3.09353991467241	3.02913743753611	T01D1.6	abu-11	NM_061278	chrII	-	192592	194534	II	192592	194534	-	NM_061278.3	abu-11	abu-11	II	194558	192531	-1
22	WBGene00000035	8.08531668626765	8.03906757617819	8.05227366500578	8.15202657729442	8.43684904548776	8.21642953169303	8.36425643760739	7.72988247881587	7.7889254991591	7.84554001782096	7.73047870162975	7.79333696995684	7.74120307916224	7.80301663486389	W09B12.1	ace-1	NM_078259	chrX	+	16367309	16373200	X	16367381	16373272	+	NM_078259.6	ace-1	ace-1	X	16373782	16367229	1
23	WBGene00000036	10.0978987897642	10.1039386585768	10.1344978441628	10.0500193582469	9.61435586687805	9.63773510302081	9.88584750470322	10.4416503345178	10.3718625279182	10.4588280117044	10.2966971059662	10.4254758904884	10.4390542400017	10.501571161958	Y44E3A.2	ace-2	NM_058740	chrI	-	3302199	3307467	I	3302197	3307465	-	NM_058740.4	ace-2	ace-2	I	3307465	3302092	-1
24	WBGene00000037	8.44635638946553	8.55463867211841	8.46878158316264	8.6544184677946	8.87960424246748	8.83193787783326	8.87528855313462	8.21447122052771	8.69402663835257	7.9605276483903	8.36511886990668	9.00779326724914	8.71640277392614	8.94703386648177	Y48B6A.8	ace-3	NM_064562	chrII	+	14205607	14209810	II	14205682	14209885	+	NM_064562.4	ace-3	ace-3	II	14210180	14205633	1
25	WBGene00000038	3.74839441418088	4.19698687466288	3.73508022875254	4.51678871619317	4.38501032617901	4.24307950758952	4.29036143679785	3.55745931541344	3.80529076501073	3.70139140752006	3.65727788946204	4.07253247309752	3.91917489241838	3.93627531274199	Y48B6A.7	ace-4	NM_064561	chrII	+	14198092	14205250	II	14198167	14205325	+	NM_064561.4	ace-4	ace-4	II	14205325	14198046	1
26	WBGene00000039	3.37092033666879	3.74796496507779	3.77610296254663	3.40036571455956	3.2582878958884	3.09503400322321	4.08398363838176	3.51676035081729	3.39206940596146	4.116484896274	3.60497203539968	3.67812764384148	3.71136290951091	3.96526271621121	C42D8.5	acn-1	NM_001029282,NM_001029283	chrX	-	5092811	5097036	X	5092842	5097067	-	NM_001029282.3,NM_001029283.3	acn-1	acn-1	X	5097067	5092281	-1
27	WBGene00000040	11.239510188437	11.1923720868055	11.3485647486922	11.2126942006543	10.8619389693458	11.0600432295012	10.971270138809	11.3848102664869	11.4670797877065	11.5655679634324	11.3974262490881	11.6625303896946	11.4490398133787	11.5186026249006	ZK455.1	aco-1	NM_077497	chrX	+	11339812	11343098	X	11339876	11343162	+	NM_077497.3	aco-1	aco-1	X	11343568	11339874	1
28	WBGene00000041	13.2701538816224	13.1884132475931	13.3426781393158	13.3005268998737	13.468782633952	13.3675606607566	13.7374835856468	12.9980662403323	12.7839861298755	13.0850126997483	13.290015910339	13.2224273870504	12.9070861234173	13.148448062489	F54H12.1	aco-2	NM_066337	chrIII	+	7974641	7976893	III	7974706	7976958	+	NM_066337.5	aco-2	aco-2	III	7977325	7973717	1
29	WBGene00000042	6.87104648608982	6.70216844006557	6.85569074263379	6.50868753717459	6.55072090610926	6.55784467384783	6.71297628977533	7.7038297482548	7.31814417934873	7.63167352605973	7.2807662555828	7.0774572317642	7.24932094657207	7.13596297193729	K11G12.2	acr-2	NM_076727	chrX	+	6702653	6709103	X	6702692	6709142	+	NM_076727.5	acr-2	acr-2	X	6709302	6702692	1
30	WBGene00000043	3.98243824573912	4.19149390639525	3.81670565589437	3.99027597218377	4.64127671066822	4.25599518092906	4.29421567486646	3.74468743709585	4.46567843197773	3.72868327459929	4.34173395678378	4.10963843615856	4.14788715554023	4.21201018704767	K11G12.7	acr-3	NM_076728	chrX	+	6709548	6712740	X	6709587	6712779	+	NM_076728.3	acr-3	acr-3	X	6712926	6709538	1
31	WBGene00000044	6.89944971903236	6.8151627417244	6.82773182920389	6.71388189857161	6.90844998135903	7.02444364477379	6.32230769465527	7.97693546361831	7.75650744206399	8.0749878335237	7.8801618835102	7.45821095128187	7.31776458768255	7.59783817443679	K03F8.2	acr-5	NM_066036	chrIII	-	6509646	6514712	III	6509699	6514765	-	NM_066036.2	acr-5	acr-5	III	6514768	6509699	-1
32	WBGene00000045	3.4083502173208	3.46518088851505	2.93293657471868	3.19934407454537	4.16050214971424	3.75944322703537	4.00389547990735	3.16138368068893	3.57306916068477	3.52259164711955	3.69896269355849	3.37642935510541	3.06024277813785	3.53724862307487	ZK973.5	acr-6	NM_058953	chrI	+	4359218	4362549	I	4359217	4362548	+	NM_058953.2	acr-6	acr-6	I	4362548	4359207	1
33	WBGene00000046	6.92547195152037	6.60405492771031	6.60298411668244	6.76546643916133	7.02625995873935	6.32230277017576	6.11143129584162	6.80071813500971	6.22654875277042	6.76310694970273	6.97913495735709	6.03046277773179	6.15061539576376	6.07970919777012	T09A5.3	acr-7	NM_063246	chrII	-	7845612	7849672	II	7845664	7849724	-	NM_063246.4	acr-7	acr-7	II	7849797	7845662	-1
34	WBGene00000047	7.85052875239116	7.95472490138623	7.96006267578025	8.06700515798479	8.33583718887211	8.05198736795009	8.03963904492841	7.64676629656498	7.62392592000547	7.7864318589465	7.47488915875934	7.52671610788942	7.37755839119982	7.23593102034668	ZC504.2	acr-8	NM_077344	chrX	+	10412782	10416531	X	10412842	10416591	+	NM_077344.4	acr-8	acr-8	X	10416656	10412763	1
35	WBGene00000048	5.50466650592455	5.27323522091721	5.64002776289884	5.34806089572463	5.32864111972804	5.72739547159779	5.08546221015926	5.80224114468938	5.85321497946495	5.84893893101767	5.82199901004079	5.83640633411118	5.68130509451568	5.79795529519331	C40C9.2	acr-9	NM_077884	chrX	-	13642452	13646698	X	13642522	13646768	-	NM_077884.3	acr-9	acr-9	X	13646898	13642348	-1
36	WBGene00000049	3.74198983609175	3.6807075300599	3.77315421948811	3.56303154008169	3.87442579456924	3.44559087487603	3.68821329875966	3.69997321668217	3.44959576074689	3.78053414442863	3.2386027155399	3.5720041445839	3.36176723526682	3.82429710483496	R02E12.8	acr-10	NM_076291	chrX	+	4022257	4025561	X	4022279	4025584	+	NM_076291.3	acr-10	acr-10	X	4025584	4022273	1
37	WBGene00000050	3.97619064497842	4.2582168449408	4.2291902190714	3.7828628472428	4.38943966658211	3.99434385601918	3.74318840256193	4.32695205848091	4.53851319378287	4.59447975582478	4.53445490395711	4.2819522043942	4.28017643289969	4.16295127970285	D2092.3	acr-11	NM_059505	chrI	-	6621688	6624895	I	6621687	6624894	-	NM_059505.1	acr-11	acr-11	I	6624894	6621628	-1
38	WBGene00000051	7.26929960306164	7.15741569608851	7.28454065805661	7.04360915146328	7.35312584312858	7.30718008852128	7.00208185835779	7.88926145332194	7.66274989538244	7.92713201949638	7.61859794944034	7.59630852750731	7.49089684356655	7.50771729229854	R01E6.4	acr-12	NM_077861	chrX	+	13532973	13536242	X	13533043	13536312	+	NM_077861.4	acr-12	acr-12	X	13536394	13532921	1
39	WBGene00000053	5.02111706582393	4.94404160266293	4.96785414129193	5.06169225336979	5.26769611014343	5.21837893377897	5.08553713210647	5.72354693810467	5.7017301033363	5.64111531950807	5.60375872208347	6.05242311562585	5.61604572234829	5.77528356956297	T05C12.2	acr-14	NM_063315	chrII	-	8174885	8177143	II	8174937	8177195	-	NM_063315.1	acr-14	acr-14	II	8177195	8174845	-1
40	WBGene00000054	6.2341245870961	6.26009631912998	5.94298385129404	5.99806321978068	6.50357582812456	6.6978953964323	6.71673369822298	6.61131210827799	6.67554493388783	6.28415744499945	6.50820841848827	6.52772697532662	6.31914248271579	6.22631006802948	F25G6.4	acr-15	NM_072805	chrV	+	8552698	8555325	V	8552720	8555347	+	NM_072805.4	acr-15	acr-15	V	8555388	8552695	1
41	WBGene00000057	5.84533172965181	6.17364119754296	6.04817742628012	6.02606168385865	6.44418789749928	6.28734513933101	6.26602075884562	5.90423484822972	6.10743390997807	6.34776348782155	6.265449496794	6.14427739438913	6.05816343791603	5.87751879650658	F28F8.1	acr-18	NM_074467	chrV	-	15551220	15559128	V	15551239	15559147	-	NM_074467.4	acr-18	acr-18	V	15559147	15551155	-1
42	WBGene00000058	7.70670880409633	7.69340754767496	7.81046918635761	7.88448662863819	7.63748630161432	7.48955854858033	7.39918030607723	8.76398167603857	8.58225589035692	8.6843513785423	8.68858775309998	7.97767321340497	8.00186871894219	7.81288712792856	C31H5.3	acr-19	NM_001136284	chrI	-	9031425	9034005	I	9031432	9034012	-	NM_001136284.1	acr-19	acr-19	I	9036695	9031274	-1
43	WBGene00000059	5.35838872216195	5.65537083781478	5.38824206079587	5.51752526661937	5.67702650189534	5.3980212616133	5.83505080313942	5.54201741842498	5.74306907367113	5.35818528605676	5.33371303233424	5.35332167568574	5.53905197616138	5.87954791756125	R06A4.10	acr-20	NM_001027101,NM_001027102	chrII	-	14373912	14376767	II	14373988	14376843	-	NM_001027101.3,NM_001027102.3	acr-20	acr-20	II	14377890	14373831	-1
44	WBGene00000060	6.00797531189395	6.46044810450716	6.47880655755633	6.17951465993124	6.46118556319008	6.50201840358311	6.105671305965	7.2107494134874	6.9839832253165	7.1641627742926	7.25116644254661	6.87193464091138	6.97020408412229	7.02349963054797	F27B3.2	acr-21	NM_066051	chrIII	+	6583458	6585564	III	6583511	6585617	+	NM_066051.3	acr-21	acr-21	III	6585617	6583511	1
45	WBGene00000061	4.97119131749178	5.35618493101025	5.01783014814906	5.07835540771845	5.82596259090526	5.37231080540465	5.28839887070622	5.43288190234267	5.69925560374949	5.96385118267824	5.97336473281043	5.11704759485101	5.76463883770269	5.53842242390076	F48E3.7	lgc-11	NM_076869	chrX	-	7503778	7506458	X	7503823	7506503	-	NM_076869.4	lgc-11	lgc-11	X	7506633	7503823	-1
46	WBGene00000062	7.14723598541229	6.90395455857896	7.07215579566227	6.99847546628632	6.84721372915793	7.1058274651199	7.27973688807743	7.95478161601553	7.67959884448628	7.83627911409156	7.76474533637316	7.8049296268329	8.01896062092698	8.13783163221658	F59B1.9	acr-23	NM_071623	chrV	-	3651727	3659486	V	3651740	3659499	-	NM_071623.4	acr-23	acr-23	V	3659499	3651660	-1
47	WBGene00000064	10.1585547705062	10.0702379994548	10.1060465188784	10.1663877480792	10.1390683475393	10.2077924510196	10.4027048040039	9.14911479945039	9.04620413541995	9.27284299322067	9.31088856732009	9.14933065101124	9.06300983522201	9.11327753735202	T04C12.5	act-2	NM_073417	chrV	-	11076882	11078109	V	11076900	11078127	-	NM_073417.5	act-2	act-2	V	11078168	11076737	-1
48	WBGene00000066	12.4455395983133	12.4261606796137	12.6019230863685	12.7151334103586	12.6820094868573	12.455491634851	13.2401469924346	12.5030366975267	12.429645138843	12.9059065739395	12.2562384412556	13.8360764212084	13.7897454114711	13.8995090356359	M03F4.2	act-4	NM_076441	chrX	+	4962844	4963953	X	4962875	4963984	+	NM_076441.4	act-4	act-4	X	4964416	4960553	1
49	WBGene00000067	13.0170985095232	12.896031610521	13.0115245851486	12.9708957066888	11.6708262405046	11.8294513426733	12.4073483329992	11.1267914305367	11.0111897442326	11.1858413282753	10.8795478402916	11.6328026762669	11.5061606539795	11.5845780341062	T25C8.2	act-5	NM_067408	chrIII	-	13604453	13605965	III	13604554	13606066	-	NM_067408.4	act-5	act-5	III	13606067	13604339	-1
50	WBGene00000068	10.0954812086162	10.0845734997074	10.2371919339824	10.0568285362883	10.2597017163563	10.065373662074	10.2264529005586	10.5378916712926	10.3754258919891	10.7521769993054	10.3489381595255	10.4034514733716	10.5131826904568	10.3373201158103	F17C8.1	acy-1	NM_065569	chrIII	+	4722177	4730529	III	4722212	4730564	+	NM_065569.3	acy-1	acy-1	III	4730870	4722212	1
51	WBGene00000069	8.24535941259485	8.41114044353666	8.30986987521335	8.29294081935272	8.35172861110586	8.28887581615536	8.32165697854034	8.70830021622399	8.7225793351462	8.69925366406289	8.61894819030502	8.6875143441566	8.46136826861283	8.26493981754996	C10F3.3	acy-2	NM_072152	chrV	+	5976012	5981396	V	5976029	5981413	+	NM_072152.3	acy-2	acy-2	V	5981513	5976029	1
52	WBGene00000070	10.2667949454175	10.1811069275902	10.4108677302044	10.2604448781911	10.152535334459	10.0176791152756	10.0562186169236	10.2452835601994	10.0943315621694	10.2198813055519	10.0695880123957	10.0138485186447	9.78831098149987	9.76468078052655	C44F1.5	acy-3	NM_065364	chrIII	-	3775153	3786718	III	3775171	3786444	-	NM_065364.4	acy-3	acy-3	III	3786640	3774893	-1
53	WBGene00000071	7.25429286483668	7.31726538170106	7.27056134430712	7.24300899171048	7.3523833759972	7.26861623894092	7.02235834773333	8.15936676845502	8.01480369800868	8.27911242380354	8.0067303360416	7.7706317411008	7.54340258679693	7.55275926499177	T01C2.1	acy-4	NM_072085	chrV	-	5624920	5630862	V	5624936	5630878	-	NM_072085.5	acy-4	acy-4	V	5630892	5624723	-1
54	WBGene00000072	9.1997191577659	8.9590398738409	9.21366514239621	9.1183018078956	9.43290910688897	9.42178529596256	9.4261514341181	9.70137171922798	9.55011815158545	9.72970710668321	9.66087236933733	9.7988050596166	9.76308996273571	9.81102310247551	F39C12.2	add-1	NM_001029468,NM_001029469,NM_001029470,NM_001029471,NM_001029472	chrX	-	4854223	4860006	X	4854253	4860036	-	NM_001029468.2,NM_001029469.2,NM_001029470.2,NM_001029471.1,NM_001029472.2	add-1	add-1	X	4860036	4854077	-1
55	WBGene00000073	8.75993749318062	8.65206307255844	8.88443097631409	8.82879493799483	8.43546383113292	8.49706435914942	8.27057641989534	8.80954297608233	8.70139528248587	8.94887577215883	8.88578721480185	8.65929586135019	8.57037216743938	8.71074967315219	F57F5.4	add-2	NM_001047666	chrV	-	12009636	12011683	V	12009655	12011702	-	NM_001047666.3	add-2	add-2	V	12013605	12009551	-1
56	WBGene00000074	9.78773735182131	9.66406881062603	9.60615098641612	9.76082602255351	9.29203813120816	9.25462806432515	9.58533490354711	9.08401476608556	9.03759303203342	8.97844426969424	8.77343084057402	9.04895689498575	9.03123337472525	9.10800975827261	C04A11.4	adm-2	NM_077890	chrX	+	13687903	13695353	X	13687973	13695423	+	NM_077890.3	adm-2	adm-2	X	13695791	13687973	1
57	WBGene00000075	7.25357860144079	7.16281672535695	7.29836992282977	7.2698753679624	6.73688519245394	6.95543091235986	6.80047330771824	6.9312763281764	6.94330065233943	6.71981533490615	6.74107091968212	6.71438207825665	6.7664426155494	6.70359411079399	ZK154.7	adm-4	NM_076917	chrX	-	7795269	7798231	X	7795320	7798282	-	NM_076917.3	adm-4	adm-4	X	7798287	7795044	-1
58	WBGene00000079	9.87674398616429	9.81097225238018	9.79743059709935	9.77703416789907	9.63977487129648	9.96916845202599	9.70753830971755	9.50330495553872	9.40195204993706	9.44675209307549	9.49996279605297	9.74129099161672	9.80426552397809	9.71940521565733	H15N14.1	adr-1	NM_182002	chrI	+	7773433	7774286	I	7773438	7774291	+	NM_182002.3	adr-1	adr-1	I	7777577	7773416	1
59	WBGene00000080	9.28436390521373	9.21973611788486	9.17265297669585	9.24082499609992	9.33491612240896	9.47763983756676	9.28670678570652	8.96163944984865	9.11397323734416	9.13192420465998	9.22249741522501	8.79200657721471	8.84385317532074	8.8857270960787	T20H4.4	adr-2	NM_066193	chrIII	-	7231111	7232820	III	7231173	7232882	-	NM_066193.4	adr-2	adr-2	III	7232882	7230964	-1
60	WBGene00000081	9.01186971959115	9.3709552078275	8.98556995263207	9.3120533658497	6.96493961743158	6.88398604142688	7.01364190098646	10.8983217341848	10.6397002011363	10.7125561566195	10.5728131077023	11.1702284687892	10.9545730819837	10.9898954510298	Y50D7A.7	ads-1	NM_064784	chrIII	-	295713	298530	III	295714	298531	-	NM_064784.7	ads-1	ads-1	III	298556	295647	-1
61	WBGene00000082	8.17596860915426	7.77123295625298	8.227347957466	7.98822756353264	7.27906418287345	7.47760357704782	7.42466634762223	8.16966243528532	7.73685114751501	7.90761838000049	7.90412577852501	7.66202792808331	7.80650876424745	7.70017409218429	C02B4.1	adt-1	NM_077715	chrX	+	12679080	12689111	X	12679152	12689183	+	NM_077715.4	adt-1	adt-1	X	12689279	12678832	1
62	WBGene00000083	10.4016333713583	10.2584154101972	10.4869455665178	10.3888096945751	10.673556198954	10.6574695471452	10.9601024113451	11.3870587401404	11.2389747176958	11.6299198304652	11.2985569481504	11.8202397085259	11.7269203135344	11.6305912760187	F08C6.1	adt-2	NM_001029362	chrX	+	7593524	7594745	X	7593572	7594793	+	NM_001029362.3	adt-2	adt-2	X	7595489	7585587	1
63	WBGene00000084	9.13240631938937	8.96563574555722	8.98695609325708	9.19805867993491	5.15728781645194	5.26843073837226	4.87950862899898	8.25386882945848	8.0999808069069	8.20225758164692	7.88383109646285	7.930530390157	7.4232822776636	7.30862488623579	D2030.10	aex-1	NM_001025903,NM_170901	chrI	+	7602320	7608002	I	7602324	7608006	+	NM_001025903.2,NM_170901.3	aex-1	aex-1	I	7608245	7602311	1
64	WBGene00000085	6.7067201660906	6.84514406631009	6.6438192692478	6.79847352128567	6.77405370046873	6.89189912178023	6.83722021427235	7.114803319002	6.90312245731683	7.19590741411313	6.98450063875738	6.7656581232789	7.13704004381703	6.5291134314102	T14B1.2	aex-2	NM_077225	chrX	-	9651195	9653058	X	9651252	9653115	-	NM_077225.5	aex-2	aex-2	X	9653116	9650999	-1
65	WBGene00000086	10.3213719670811	10.2865215028712	10.2985697473007	10.3295705815095	9.93340725006326	10.0132017997886	10.467155218979	10.2752065482441	10.1948329766157	10.2726802105483	10.0326949834611	10.4752828415119	10.3975154903475	10.4802401746327	C02H7.3	aex-3	NM_001029171	chrX	-	752880	759700	X	752881	759701	-	NM_001029171.3	aex-3	aex-3	X	759732	751211	-1
66	WBGene00000088	9.5951482190446	9.46064529813644	9.69903290995685	9.39832524400574	9.79030058702715	9.91314119976782	10.3074885029027	8.91023779843917	8.48283200876377	8.80334989602699	8.65245216247074	9.23924589752317	9.2621074304438	9.07617112868748	F32A7.6	aex-5	NM_061193	chrI	-	14850129	14855720	I	14850140	14855731	-	NM_061193.5	aex-5	aex-5	I	14855827	14850070	-1
67	WBGene00000089	8.608912107431	8.51599754026474	8.66960408360868	8.33087257045016	8.50823590443053	8.33195576452254	8.02635602667671	8.97238847996796	8.75580770319768	9.05406430039698	8.86520699365684	8.78337545201786	8.97482936864269	8.79856326960957	Y87G2A.4	aex-6	NM_060975	chrI	-	13543377	13545173	I	13543388	13545184	-	NM_060975.3	aex-6	aex-6	I	13545188	13543094	-1
